,0
name,label
for,Census API FIPS 'for' clause
in,Census API FIPS 'in' clause
ucgid,Uniform Census Geography Identifier clause
P4_003N,Not Hispanic or Latino:
P4_015N,White; Asian
P4_027N,Native Hawaiian and Other Pacific Islander; Some Other Race
P4_039N,Black or African American; American Indian and Alaska Native; Asian
P3_043N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P3_055N,White; American Indian and Alaska Native; Asian; Some Other Race
P3_067N,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P3_031N,White; American Indian and Alaska Native; Asian
SDELM,Geography
P4_002N,Hispanic or Latino
P4_014N,White; American Indian and Alaska Native
P4_026N,Asian; Some Other Race
P4_038N,White; Native Hawaiian and Other Pacific Islander; Some Other Race
P3_032N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P3_044N,American Indian and Alaska Native; Asian; Some Other Race
P1_009N,Population of two or more races:
P3_056N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P3_068N,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_070N,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P3_020N,American Indian and Alaska Native; Asian
P4_001N,Total:
P4_013N,White; Black or African American
P4_025N,Asian; Native Hawaiian and Other Pacific Islander
P4_037N,White; Asian; Some Other Race
P4_049N,Population of four races:
P3_065N,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P1_008N,Some Other Race alone
P3_041N,Black or African American; Asian; Some Other Race
P2_071N,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P3_053N,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
H1_002N,Occupied
CD,Geography
P4_012N,Population of two races:
P4_024N,American Indian and Alaska Native; Some Other Race
P2_073N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P4_036N,White; Asian; Native Hawaiian and Other Pacific Islander
P4_048N,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
PLACE,Geography
SDUNI,Geography
P3_054N,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P3_066N,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_007N,Native Hawaiian and Other Pacific Islander alone
P1_019N,Black or African American; Some Other Race
P2_072N,Population of six races:
P3_030N,White; Black or African American; Some Other Race
P2_060N,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P3_042N,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
H1_001N,Total:
P5_008N,College/University student housing
P4_011N,Population of two or more races:
SLDL,Geography
P4_023N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P4_035N,White; American Indian and Alaska Native; Some Other Race
P4_047N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P4_059N,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
SLDU,Geography
P3_011N,White; Black or African American
P3_035N,White; Asian; Some Other Race
P3_023N,Asian; Native Hawaiian and Other Pacific Islander
P1_018N,Black or African American; Native Hawaiian and Other Pacific Islander
P1_006N,Asian alone
P3_047N,Population of four races:
P3_059N,Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P4_010N,Some Other Race alone
P5_007N,Noninstitutionalized population:
P4_022N,American Indian and Alaska Native; Asian
P4_034N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P4_046N,American Indian and Alaska Native; Asian; Some Other Race
P4_058N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
AIHHTL,Geography
NECTA,Geography
P3_024N,Asian; Some Other Race
P3_012N,White; American Indian and Alaska Native
P1_029N,White; Black or African American; Native Hawaiian and Other Pacific Islander
CNECTA,Geography
P1_005N,American Indian and Alaska Native alone
P1_017N,Black or African American; Asian
P3_036N,White; Native Hawaiian and Other Pacific Islander; Some Other Race
P3_048N,White; Black or African American; American Indian and Alaska Native; Asian
P4_021N,Black or African American; Some Other Race
P4_033N,White; American Indian and Alaska Native; Asian
P4_045N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P4_057N,White; American Indian and Alaska Native; Asian; Some Other Race
STATE,Geography
P4_069N,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
DIVISION,Geography
P3_033N,White; American Indian and Alaska Native; Some Other Race
P3_021N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P3_045N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P3_057N,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_016N,Black or African American; American Indian and Alaska Native
P1_028N,White; Black or African American; Asian
P1_004N,Black or African American alone
P3_069N,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P4_020N,Black or African American; Native Hawaiian and Other Pacific Islander
P4_032N,White; Black or African American; Some Other Race
P4_044N,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
P4_056N,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P4_068N,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
AIRES,Geography
P3_022N,American Indian and Alaska Native; Some Other Race
P3_010N,Population of two races:
SDSEC,Geography
P3_034N,White; Asian; Native Hawaiian and Other Pacific Islander
P3_046N,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_027N,White; Black or African American; American Indian and Alaska Native
P1_039N,Black or African American; American Indian and Alaska Native; Some Other Race
P1_003N,White alone
P1_015N,White; Some Other Race
P5_009N,Military quarters
P3_058N,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P5_004N,Juvenile facilities
P4_031N,White; Black or African American; Native Hawaiian and Other Pacific Islander
P4_043N,Black or African American; Asian; Some Other Race
P4_055N,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
P4_067N,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P2_030N,White; Black or African American; Asian
P2_054N,White; Black or African American; Asian; Some Other Race
P2_042N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P2_066N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
AIANHH,Geography
P3_015N,White; Some Other Race
P3_003N,White alone
P3_039N,Black or African American; American Indian and Alaska Native; Some Other Race
P3_027N,White; Black or African American; American Indian and Alaska Native
SUBMCD,Geography
P5_003N,Correctional facilities for adults
P4_030N,White; Black or African American; Asian
P4_042N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P4_054N,White; Black or African American; Asian; Some Other Race
P4_066N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P2_043N,Black or African American; Asian; Some Other Race
P2_031N,White; Black or African American; Native Hawaiian and Other Pacific Islander
P2_067N,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P2_055N,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
REGION,Geography
P3_004N,Black or African American alone
P3_028N,White; Black or African American; Asian
P3_016N,Black or African American; American Indian and Alaska Native
P4_041N,Black or African American; American Indian and Alaska Native; Some Other Race
P4_053N,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P4_065N,Population of five races:
P5_006N,Other institutional facilities
VTD,Geography
P2_032N,White; Black or African American; Some Other Race
P2_020N,Black or African American; Native Hawaiian and Other Pacific Islander
P2_056N,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P2_044N,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_068N,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P3_013N,White; Asian
P3_001N,Total:
P3_037N,Black or African American; American Indian and Alaska Native; Asian
P3_025N,Native Hawaiian and Other Pacific Islander; Some Other Race
P3_049N,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P4_040N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P4_052N,White; Black or African American; American Indian and Alaska Native; Some Other Race
P4_064N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P5_005N,Nursing facilities/Skilled-nursing facilities
P2_021N,Black or African American; Some Other Race
P2_045N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P2_033N,White; American Indian and Alaska Native; Asian
P2_069N,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_057N,White; American Indian and Alaska Native; Asian; Some Other Race
P3_002N,Population of one race:
P3_026N,Population of three races:
P3_014N,White; Native Hawaiian and Other Pacific Islander
P3_038N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P4_051N,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P4_063N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_062N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_061N,Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P3_019N,Black or African American; Some Other Race
P3_007N,Native Hawaiian and Other Pacific Islander alone
P4_050N,White; Black or African American; American Indian and Alaska Native; Asian
P4_062N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_063N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_051N,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P2_050N,White; Black or African American; American Indian and Alaska Native; Asian
P3_008N,Some Other Race alone
P4_061N,Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P4_073N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P5_002N,Institutionalized population:
P2_052N,White; Black or African American; American Indian and Alaska Native; Some Other Race
P2_040N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P2_064N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
CSA,Geography
P3_029N,White; Black or African American; Native Hawaiian and Other Pacific Islander
P3_017N,Black or African American; Asian
P3_005N,American Indian and Alaska Native alone
P4_060N,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P4_072N,Population of six races:
P5_001N,Total:
P2_041N,Black or African American; American Indian and Alaska Native; Some Other Race
P2_065N,Population of five races:
P2_053N,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander
GEO_ID,Geography
TRACT,Geography
P3_018N,Black or African American; Native Hawaiian and Other Pacific Islander
P3_006N,Asian alone
P2_038N,White; Native Hawaiian and Other Pacific Islander; Some Other Race
P4_071N,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_026N,Asian; Some Other Race
P2_014N,White; American Indian and Alaska Native
P2_002N,Hispanic or Latino
P1_054N,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P1_066N,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_030N,White; Black or African American; Some Other Race
P1_042N,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
P4_070N,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_027N,Native Hawaiian and Other Pacific Islander; Some Other Race
P2_015N,White; Asian
P1_040N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P2_039N,Black or African American; American Indian and Alaska Native; Asian
P2_003N,Not Hispanic or Latino:
SUMLEVEL,Summary Level code
P1_065N,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P1_041N,Black or African American; Asian; Some Other Race
P1_053N,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_016N,White; Native Hawaiian and Other Pacific Islander
P1_051N,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P2_004N,Population of one race:
P2_028N,Population of three races:
P5_010N,Other noninstitutional facilities
P3_009N,Population of two or more races:
P1_052N,White; Black or African American; Asian; Some Other Race
P1_064N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P2_005N,White alone
P1_050N,White; Black or African American; American Indian and Alaska Native; Some Other Race
P1_062N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_029N,White; Black or African American; American Indian and Alaska Native
P2_017N,White; Some Other Race
METDIV,Geography
P1_063N,Population of five races:
P1_061N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_010N,Some Other Race alone
P2_034N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P2_022N,American Indian and Alaska Native; Asian
P2_058N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_046N,American Indian and Alaska Native; Asian; Some Other Race
P2_059N,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_060N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_023N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P2_011N,Population of two or more races:
P2_047N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_035N,White; American Indian and Alaska Native; Some Other Race
P2_048N,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
COUSUB,Geography
P1_071N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_012N,Population of two races:
P2_036N,White; Asian; Native Hawaiian and Other Pacific Islander
P2_024N,American Indian and Alaska Native; Some Other Race
CONCIT,Geography
P2_049N,Population of four races:
P2_037N,White; Asian; Some Other Race
P1_070N,Population of six races:
P2_001N,Total:
P2_025N,Asian; Native Hawaiian and Other Pacific Islander
P2_013N,White; Black or African American
CBSA,Geography
ANRC,Geography
P3_070N,Population of six races:
TRISUBREM,Geography
BLKGRP,Geography
P1_038N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_014N,White; Native Hawaiian and Other Pacific Islander
P1_026N,Population of three races:
P1_002N,Population of one race:
P3_071N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_049N,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_025N,Native Hawaiian and Other Pacific Islander; Some Other Race
P1_037N,Black or African American; American Indian and Alaska Native; Asian
P1_001N,Total:
P1_013N,White; Asian
PLACEREM,Geography
NECTADIV,Geography
P4_009N,Native Hawaiian and Other Pacific Islander alone
P1_036N,White; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_048N,White; Black or African American; American Indian and Alaska Native; Asian
P1_012N,White; American Indian and Alaska Native
P1_024N,Asian; Some Other Race
P4_008N,Asian alone
P1_047N,Population of four races:
P1_059N,Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P1_023N,Asian; Native Hawaiian and Other Pacific Islander
P1_035N,White; Asian; Some Other Race
P1_011N,White; Black or African American
P2_018N,Black or African American; American Indian and Alaska Native
P2_006N,Black or African American alone
P4_007N,American Indian and Alaska Native alone
P4_019N,Black or African American; Asian
NATION,Geography
P3_051N,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P3_063N,Population of five races:
P1_058N,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P1_034N,White; Asian; Native Hawaiian and Other Pacific Islander
P1_046N,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_010N,Population of two races:
P1_022N,American Indian and Alaska Native; Some Other Race
COUNTY,Geography
P2_007N,American Indian and Alaska Native alone
P2_019N,Black or African American; Asian
BLOCK,Geography
P4_006N,Black or African American alone
P4_018N,Black or African American; American Indian and Alaska Native
P3_040N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P3_052N,White; Black or African American; Asian; Some Other Race
P3_064N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P1_069N,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_045N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_057N,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_021N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_033N,White; American Indian and Alaska Native; Some Other Race
H1_003N,Vacant
P2_008N,Asian alone
P3_060N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P4_005N,White alone
P4_017N,White; Some Other Race
P4_029N,White; Black or African American; American Indian and Alaska Native
GEOCOMP,GEO_ID Component
P3_061N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_056N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_068N,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_032N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_044N,American Indian and Alaska Native; Asian; Some Other Race
P1_020N,American Indian and Alaska Native; Asian
P2_009N,Native Hawaiian and Other Pacific Islander alone
P4_004N,Population of one race:
P4_016N,White; Native Hawaiian and Other Pacific Islander
P4_028N,Population of three races:
P3_050N,White; Black or African American; American Indian and Alaska Native; Some Other Race
P3_062N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_067N,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_043N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P1_055N,White; American Indian and Alaska Native; Asian; Some Other Race
P1_031N,White; American Indian and Alaska Native; Asian
state,State FIPS
county,County FIPS
tract,Tract FIPS
block,Block FIPS
NAME,NAME
